SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
L,HI,12.7,8.8,5.2,25.0,14.9,20.7,61.6,4.8,5.1
L,MD,2.7,37.6,8.0,1.2,3.7,1.5,6.1,5.8,1.0
L,VH,46.4,27.1,76.4,16.2,49.7,22.4,95.1,40.3,32.1
L,MD,7.6,2.7,12.0,1.0,1.1,6.7,2.6,3.1,1.1
S,VH,96.5,95.3,100.0,100.0,100.0,79.8,65.5,31.0,62.5
L,HI,4.8,4.8,10.7,5.1,29.1,45.5,45.7,2.1,2.4
L,VH,13.0,5.9,14.6,32.1,13.4,3.6,67.2,22.9,37.3
S,HI,5.9,14.3,13.8,4.0,75.6,15.7,2.5,27.6,1.0
M,HI,4.1,2.9,7.6,3.9,1.8,1.3,28.9,3.9,1.4
XL,HI,10.2,6.8,14.4,2.0,1.3,1.5,39.4,62.2,2.3
M,VH,2.8,1.8,94.4,6.9,3.8,2.2,5.7,1.7,1.1
M,HI,7.2,4.4,5.8,8.2,3.2,2.1,15.5,2.1,1.6
L,VH,5.3,5.0,57.4,4.3,9.0,63.0,83.6,1.9,1.0
L,VH,16.6,14.8,18.9,2.5,94.5,38.4,64.0,2.3,3.1
L,HI,5.8,4.0,59.2,3.0,4.2,7.1,13.0,2.9,4.1
L,VH,55.3,74.3,58.0,22.1,63.2,74.8,86.1,37.7,35.4
M,VH,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,70.9
M,VH,17.1,9.4,14.8,15.1,100.0,98.7,16.9,22.4,39.1
L,MD,11.8,2.4,2.9,1.4,,,5.3,1.9,1.0
M,VH,17.8,27.1,17.6,65.2,100.0,98.1,75.4,26.3,25.7
L,VH,14.6,4.2,15.6,33.9,11.7,8.1,81.2,19.3,21.1
L,HI,13.0,14.5,26.1,1.2,14.2,3.4,4.6,38.6,1.9
L,VH,7.9,7.3,4.1,33.3,1.6,1.6,64.7,19.0,1.5
XL,VH,48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6,96.3
L,VH,40.4,15.1,8.6,38.8,5.9,4.2,88.3,15.0,56.7
XL,HI,36.3,65.3,31.1,1.9,1.6,1.1,60.9,65.6,67.7
S,VH,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5
L,MD,6.8,12.8,2.8,2.4,1.4,1.0,7.4,3.9,1.1
L,VH,7.5,11.9,5.5,3.0,3.5,9.6,40.2,14.3,3.2
L,VH,11.0,19.7,8.0,20.4,2.2,2.5,37.6,25.4,30.4
L,HI,28.4,40.7,93.0,1.3,3.8,59.3,36.4,38.2,1.0
XL,VH,43.2,33.2,24.4,15.9,37.4,24.1,90.4,20.2,75.0
L,VH,19.2,8.1,26.0,23.8,55.8,41.6,80.2,36.4,78.4
L,VH,5.7,4.1,18.9,1.4,2.7,29.6,7.2,3.1,1.0
L,VH,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7
XL,VH,90.3,85.7,64.3,53.6,99.1,99.5,98.6,59.8,96.2
M,VH,17.3,42.4,3.2,93.6,7.0,1.9,65.0,21.0,3.4
XL,VH,33.3,34.5,3.0,49.9,98.7,84.4,87.5,65.5,25.2
M,VH,4.5,2.9,98.6,14.1,3.8,22.5,10.5,1.9,6.5
M,VH,5.1,1.8,8.4,12.6,,2.1,12.7,1.9,1.0
XL,HI,28.1,25.3,2.8,3.5,5.3,9.9,68.8,72.8,1.7
L,HI,8.6,11.4,5.2,1.8,17.6,3.7,18.7,19.1,1.0
M,VH,28.6,29.5,48.5,28.9,63.2,37.0,73.1,97.0,80.5
M,VH,4.9,8.3,19.9,27.5,61.0,34.1,48.7,17.3,29.0
L,VH,32.2,41.7,13.1,65.7,86.2,78.6,91.7,47.8,94.0
L,HI,11.2,4.9,2.0,1.8,2.2,1.2,10.7,3.9,1.3
M,VH,4.6,5.4,9.6,25.6,7.1,3.5,20.6,1.9,1.1
XL,VH,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0
L,MD,7.1,6.6,1.0,46.9,,,5.4,25.9,1.0
L,HI,11.5,6.8,5.7,5.1,77.4,100.0,35.4,21.7,1.7
M,HI,6.1,2.9,63.6,3.5,3.8,2.8,26.6,1.7,1.0
L,VH,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0
XL,VH,3.0,1.9,13.3,23.9,1.3,1.7,44.1,10.6,2.3
L,VH,42.9,30.1,43.0,40.1,87.8,75.6,92.5,23.5,97.4
L,VH,32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6,34.2
L,HI,8.9,8.9,11.6,25.9,49.8,36.2,80.1,7.3,21.5
L,HI,4.7,5.3,4.1,1.8,3.8,2.9,3.4,3.2,1.8
L,VH,21.1,23.0,25.3,11.5,8.8,8.4,32.2,28.4,32.1
L,HI,17.9,13.9,34.0,3.9,10.6,70.0,76.7,21.4,39.5
L,HI,25.5,15.8,5.2,1.3,89.0,2.5,11.8,20.4,1.4
M,VH,4.4,1.8,64.0,5.6,2.5,2.2,18.4,4.1,1.0
XL,VH,100.0,99.8,35.4,74.0,42.2,22.3,95.5,94.7,67.1
XL,MD,7.4,2.1,2.6,1.6,,,31.0,3.6,1.0
L,HI,3.6,1.9,2.6,25.2,2.7,16.4,48.3,1.6,6.5
M,HI,12.5,13.0,7.5,1.5,13.7,3.7,4.4,4.8,1.3
XL,VH,41.1,25.8,13.0,16.2,5.9,2.7,70.9,1.5,14.5
L,VH,24.9,10.5,22.0,32.7,29.6,6.1,85.8,4.4,19.0
XL,VH,89.3,57.8,50.8,67.0,54.6,44.3,95.5,21.7,44.3
M,VH,11.7,3.3,87.5,1.4,6.3,60.0,18.8,1.9,10.1
M,VH,9.0,4.3,7.9,5.5,43.8,19.4,49.4,31.0,1.0
XL,HI,13.7,5.4,2.8,1.9,2.8,1.3,24.5,2.0,1.2
L,MD,3.1,1.6,32.5,1.2,,,10.8,1.6,1.0
XL,VH,19.2,11.8,15.4,24.6,51.6,96.4,67.3,44.0,72.3
M,VH,5.2,20.5,4.6,100.0,24.6,2.8,70.2,5.8,1.6
L,MD,8.3,3.8,13.3,1.7,19.2,2.5,15.7,4.9,1.0
M,VH,19.1,11.7,12.4,84.7,99.0,56.9,55.1,46.4,89.5
M,VH,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5
L,HI,9.8,6.0,84.7,9.7,9.9,10.8,75.4,26.0,8.0
XL,VH,15.3,22.5,11.8,12.6,20.3,12.9,86.7,16.6,81.2
XL,HI,16.6,55.7,7.8,3.1,28.4,9.6,30.9,3.9,39.5
M,VH,10.8,5.6,6.4,6.2,21.4,1.4,35.7,2.1,1.3
L,VH,19.6,15.8,5.7,12.7,42.0,8.9,64.6,12.3,74.5
L,HI,7.0,10.7,3.5,8.0,4.2,6.1,50.3,4.3,1.1
L,VH,38.1,35.3,4.3,25.9,1.3,1.5,75.1,96.0,70.6
S,VH,17.2,73.2,27.1,7.4,12.2,1.8,19.5,37.0,1.1
L,HI,4.4,1.6,4.6,1.9,,2.8,46.5,83.6,1.0
M,VH,9.1,9.0,38.8,3.8,2.4,6.5,48.3,15.0,1.0
L,VH,55.6,16.0,73.8,55.7,91.6,31.7,97.3,80.9,72.1
L,VH,18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5,39.5
M,VH,10.2,15.7,50.3,25.8,54.8,21.2,75.1,9.0,11.3
M,VH,4.4,4.4,14.3,16.9,4.1,20.0,29.3,6.6,1.8
M,HI,4.1,3.1,9.2,4.0,4.0,26.2,16.7,7.3,1.0
L,VH,11.1,2.8,16.2,12.1,1.0,1.4,46.0,2.7,13.2
L,MD,4.8,2.7,4.0,3.2,2.2,1.1,11.0,2.1,1.2
S,HI,11.2,12.4,79.0,1.1,15.8,1.9,3.4,5.7,1.0
M,HI,6.1,4.6,31.7,7.2,18.0,19.2,75.9,95.9,1.9
XL,VH,96.3,98.8,90.5,28.6,30.2,98.1,92.6,98.4,95.4
M,VH,9.4,5.9,18.5,20.3,44.6,46.5,65.9,7.1,44.9
L,VH,4.9,2.9,16.7,1.8,26.9,27.3,5.4,5.2,1.0
L,VH,3.9,3.9,2.2,36.2,88.7,83.8,51.1,25.8,38.5
XL,VH,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4
XL,VH,82.2,44.7,15.5,66.9,100.0,84.0,87.4,92.9,99.7
M,VH,6.6,2.3,57.9,7.6,4.3,3.3,20.6,1.8,3.1
XL,VH,28.0,5.3,12.8,10.1,2.2,1.6,80.1,25.9,31.3
L,HI,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,68.0
S,VH,29.8,16.3,97.0,93.5,59.0,11.7,70.3,14.0,6.6
XL,VH,40.4,64.2,6.5,78.9,75.8,71.3,84.6,58.9,93.3
L,VH,8.3,3.7,4.2,3.1,16.7,2.2,18.5,6.2,1.1
L,VH,36.6,22.5,54.7,17.3,12.4,19.3,66.9,9.8,63.4
XL,VH,13.1,10.3,11.0,1.4,1.4,9.5,58.3,22.6,1.1
L,HI,4.9,3.9,13.1,2.6,1.8,2.9,17.5,13.9,1.0
XL,VH,57.1,32.5,35.6,93.0,61.9,7.6,67.1,29.0,16.5
L,MD,6.1,4.0,6.7,2.6,,1.4,45.0,74.1,1.0
M,VH,15.2,8.2,41.1,2.6,5.7,92.3,19.6,13.5,1.0
XL,HI,4.5,14.3,49.7,1.1,,1.5,11.4,6.7,1.0
M,VH,12.3,14.2,10.2,18.8,100.0,58.9,20.8,27.1,26.3
M,VH,7.4,5.5,78.5,31.2,39.6,21.0,61.1,2.9,2.1
L,HI,24.6,19.4,26.6,2.1,9.1,1.7,41.0,84.6,33.6
XL,VH,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36.0,79.1
XL,VH,26.2,23.3,3.5,81.3,91.7,77.8,93.0,39.8,92.9
M,HI,9.6,11.9,10.8,2.9,7.7,1.4,29.6,7.6,21.3
L,HI,3.1,2.2,34.9,15.6,6.8,2.4,62.8,9.5,8.1
L,VH,86.0,74.7,100.0,35.1,16.3,61.0,93.3,85.5,75.0
S,VH,4.3,4.6,47.8,28.8,70.4,86.6,26.5,8.4,1.0
M,HI,21.0,25.5,14.2,2.0,3.9,1.8,13.1,10.5,1.1
XL,VH,70.8,77.0,5.8,40.2,67.4,56.8,88.1,52.9,72.6
L,VH,23.9,24.8,52.0,20.1,74.2,4.3,59.1,35.3,15.0
XL,HI,19.2,41.7,19.3,1.5,27.9,3.0,27.4,14.6,9.7
M,HI,7.1,5.2,7.8,1.6,3.2,1.1,6.0,2.5,1.0
L,HI,8.8,2.8,6.6,6.3,8.1,6.2,74.6,2.1,1.9
M,VH,6.0,6.4,27.6,1.7,1.4,41.7,8.4,5.7,1.0
L,HI,6.4,5.5,5.1,3.7,5.4,2.1,48.1,4.0,1.0
XL,VH,52.8,17.0,6.4,39.6,6.5,6.8,85.5,44.1,74.8
XL,VH,19.9,9.2,33.3,5.9,4.2,9.7,84.8,97.6,4.9
L,VH,8.8,7.8,46.3,10.7,7.2,9.2,32.7,5.0,25.7
M,VH,6.9,2.3,81.0,6.3,5.8,4.7,49.2,3.0,2.1
L,VH,21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5,83.6
L,VH,21.3,16.2,21.2,16.6,12.5,18.8,50.8,42.2,7.1
XL,VH,8.6,16.0,13.4,4.0,1.5,1.6,56.2,1.8,12.7
L,VH,7.8,6.8,31.6,6.3,2.3,5.7,44.9,5.2,1.4
M,VH,3.6,3.2,34.9,11.2,5.5,2.6,24.1,1.8,1.1
M,HI,2.2,3.5,2.9,2.7,3.6,2.3,6.8,6.4,1.0
L,VH,10.3,6.2,9.9,8.6,6.3,6.5,43.8,3.8,10.3
XL,VH,36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6,62.8
S,VH,6.9,4.8,11.3,76.5,4.6,7.2,46.6,3.5,1.3
XL,HI,20.2,16.8,7.8,2.6,2.3,4.6,70.6,53.5,2.9
S,VH,4.4,5.0,2.2,9.0,100.0,1.7,9.0,53.7,1.0
XL,VH,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3
L,VH,5.7,3.1,12.7,7.0,6.2,7.1,32.3,1.6,28.4
M,VH,7.5,3.6,34.3,5.3,2.2,2.2,23.7,1.9,1.0
L,VH,13.4,4.6,1.7,6.2,25.5,50.2,52.6,6.1,1.8
M,VH,13.0,13.6,11.9,6.1,9.3,30.2,27.8,43.2,5.8
L,HI,13.3,48.1,6.1,2.7,7.9,1.1,24.5,6.6,1.5
L,VH,6.0,3.0,3.9,22.8,8.8,2.7,60.5,5.1,3.8
L,VH,3.8,2.9,13.4,26.9,34.2,7.5,43.9,2.7,1.6
M,VH,8.8,10.0,53.8,1.6,18.0,1.2,8.4,3.2,2.3
L,HI,6.3,4.0,5.0,4.2,1.4,2.0,47.5,12.3,4.5
L,MD,9.6,26.2,3.8,1.2,3.2,2.1,8.7,20.9,1.0
L,VH,9.4,4.3,26.0,5.1,39.5,7.8,82.1,54.1,16.3
M,VH,6.9,4.0,12.8,1.9,6.8,41.6,21.0,9.5,1.0
XL,VH,61.2,66.0,4.4,64.3,21.9,12.1,92.6,44.4,39.5
L,VH,26.9,14.6,26.0,6.2,6.9,14.9,80.0,23.4,69.5
M,VH,7.8,5.1,19.2,6.7,1.8,3.5,31.1,3.9,2.8
L,VH,3.9,3.0,8.5,3.7,1.0,1.1,44.1,9.3,1.0
M,VH,5.4,3.7,3.5,21.0,,5.4,17.2,7.2,1.0
XL,VH,7.7,3.2,42.1,64.5,11.0,1.4,65.1,15.8,7.4
L,VH,5.7,4.9,4.0,5.0,6.0,7.4,14.2,29.2,10.1
XL,VH,36.2,28.1,46.3,12.8,18.0,28.2,78.0,25.7,95.4
L,HI,8.3,15.2,7.0,2.2,13.4,1.1,12.8,4.4,1.0
M,HI,6.8,7.7,8.7,1.3,3.4,1.2,7.5,18.0,1.1
M,HI,6.5,3.2,7.9,2.2,2.7,1.8,5.9,7.8,1.1
XL,HI,10.6,5.0,33.9,1.8,98.3,7.9,68.3,2.4,9.3
M,HI,7.0,2.9,51.4,1.3,5.1,1.7,20.0,87.4,1.0
XL,VH,24.0,38.4,84.8,1.8,6.6,13.5,83.6,13.0,44.6
XL,HI,34.8,17.1,17.3,4.2,4.8,4.2,62.5,19.1,56.1
L,HI,6.5,5.4,4.6,5.4,8.4,8.8,24.4,13.8,7.9
M,VH,24.3,54.6,19.1,32.4,24.7,13.0,51.6,6.8,34.8
XL,VH,5.4,22.0,4.9,80.3,,2.4,56.3,5.7,2.4
M,VH,18.2,12.0,60.0,61.4,98.9,100.0,37.0,15.7,54.4
XL,VH,10.4,3.4,7.8,21.4,19.8,15.1,87.3,2.8,7.5
XL,HI,3.7,4.1,4.8,2.9,2.6,3.4,16.4,1.7,1.0
L,HI,14.7,7.9,6.8,2.9,20.4,19.4,39.3,93.8,17.1
L,VH,48.4,25.9,4.6,55.0,91.0,47.6,89.9,76.4,27.1
XL,HI,7.4,2.8,6.3,5.3,1.3,1.2,43.4,3.7,2.0
L,HI,5.5,1.5,4.9,2.4,2.2,1.1,10.1,1.6,1.0
L,VH,10.5,8.0,43.5,14.9,8.2,4.0,73.1,7.3,11.0
XL,HI,11.4,9.8,13.6,2.2,11.8,3.5,56.0,2.5,5.4
XL,VH,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6
M,VH,4.8,34.7,34.9,2.0,11.7,21.7,40.0,2.9,1.1
M,VH,10.5,13.0,95.5,5.4,20.3,36.2,65.3,1.9,1.2
XL,VH,64.0,35.8,11.5,59.5,18.5,16.5,93.1,24.0,86.7
L,VH,3.5,1.6,14.1,68.5,,,52.4,10.1,2.8
XL,MD,10.0,11.7,20.1,1.8,,,50.1,92.5,1.8
M,VH,7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,2.4
L,VH,13.9,5.6,11.1,90.6,4.2,15.3,89.0,2.7,57.7
XL,VH,12.3,8.5,44.3,7.2,,14.1,66.2,3.8,2.2
L,VH,14.3,8.0,37.8,16.5,46.7,3.3,66.5,30.5,12.3
M,VH,8.1,9.1,20.9,11.4,6.3,5.4,33.1,23.7,4.3
L,VH,61.0,61.9,58.8,25.7,36.1,92.0,80.5,17.5,53.5
M,LO,7.7,9.0,40.4,1.0,6.6,4.1,1.0,3.4,
L,VH,58.3,66.5,78.4,27.9,18.7,14.1,69.9,15.1,77.6
L,VH,59.9,26.4,92.2,40.1,100.0,42.8,94.3,88.6,58.7
XL,VH,22.7,18.6,3.9,22.6,53.1,78.7,65.5,76.3,86.5
L,VH,4.4,2.6,5.7,14.2,9.0,5.3,66.2,3.0,2.9
XL,HI,15.3,7.6,1.8,10.9,32.9,11.0,62.6,21.6,9.9
M,VH,5.2,4.8,24.3,32.5,47.1,27.8,44.5,29.0,33.3
M,VH,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5
XL,HI,29.0,34.4,10.1,2.2,43.8,29.5,43.7,29.9,5.8
XL,MD,4.1,1.8,2.5,2.0,,,14.0,1.5,1.0
XL,VH,6.6,2.6,15.9,63.0,6.2,2.5,47.4,16.8,2.0
