SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
L,MD,9.7,14.8,4.6,2.1,4.1,1.4,12.4,9.0,1.3
M,MD,5.2,3.3,10.2,1.7,3.2,1.2,5.9,12.1,1.0
L,VH,14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3,15.2
XL,VH,7.0,4.1,44.0,3.7,1.1,3.2,50.8,10.3,8.0
L,VH,17.1,6.5,5.5,21.4,24.7,1.1,56.0,49.8,1.5
L,HI,6.2,4.4,7.3,3.2,42.0,73.8,27.2,6.5,1.4
XL,VH,39.4,28.7,54.3,40.0,99.4,15.0,95.1,99.0,33.0
M,MD,20.9,36.2,79.7,1.9,2.7,7.5,10.2,65.9,1.3
L,VH,5.4,4.2,20.3,3.1,3.5,3.9,52.5,7.4,2.4
M,VH,10.4,16.8,41.8,2.4,26.7,47.8,48.1,21.6,6.7
L,VH,8.4,4.7,44.1,3.6,4.5,13.4,84.1,4.2,1.6
XL,VH,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0
S,VH,2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6,6.5
XL,HI,40.8,19.2,28.4,1.9,5.3,22.6,55.4,27.3,2.2
L,VH,8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8,62.2
M,MD,28.4,50.8,4.3,1.0,3.5,2.7,,18.9,
L,HI,6.3,5.3,4.3,15.6,3.9,6.7,15.1,22.4,7.9
L,VH,7.4,8.4,33.0,1.5,6.8,20.4,29.8,11.4,1.6
XL,VH,23.1,18.3,4.5,2.0,1.7,4.8,76.4,24.3,6.9
L,VH,4.1,1.7,9.3,9.2,1.6,6.1,44.4,9.7,6.8
L,VH,12.0,6.2,34.9,3.9,4.8,2.4,70.6,14.1,25.7
L,VH,6.8,3.7,24.8,4.3,5.3,3.5,17.0,1.9,3.1
L,VH,17.0,11.8,9.6,38.0,50.3,53.0,94.6,23.6,81.2
M,VH,4.1,2.2,75.4,2.1,2.2,12.3,17.0,9.1,1.2
L,HI,5.4,2.7,21.8,1.3,3.0,21.4,12.1,3.0,1.0
M,VH,12.8,5.5,32.0,11.4,7.3,4.5,29.5,4.0,1.1
M,VH,9.7,2.9,20.8,6.8,96.1,93.7,55.5,15.7,39.5
XL,VH,12.1,46.1,37.4,27.4,11.6,2.1,62.2,23.2,9.1
L,VH,42.8,21.4,10.1,32.1,100.0,31.0,70.7,71.6,91.4
L,VH,37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9,35.4
M,HI,4.9,4.3,13.3,1.7,3.5,20.2,6.5,13.3,2.2
S,VH,45.7,26.3,37.9,99.9,3.7,1.5,39.1,13.1,23.7
L,VH,23.1,33.0,6.8,55.2,36.0,46.8,70.4,21.7,65.3
L,VH,19.9,10.9,11.7,10.7,45.4,26.1,63.9,31.9,12.3
M,MD,7.9,9.1,44.2,1.9,21.5,7.4,6.9,3.8,1.0
L,VH,10.0,43.2,18.0,6.7,1.1,1.8,41.6,47.7,7.5
XL,HI,12.9,16.3,16.0,1.5,17.1,2.8,14.9,2.4,9.3
XL,VH,68.9,69.0,39.0,40.5,92.6,89.3,97.5,44.5,96.8
XL,LO,5.1,4.0,3.3,1.0,1.8,,18.5,61.8,1.0
M,VH,32.1,31.1,35.5,5.2,97.0,3.8,29.4,75.6,14.6
S,VH,6.1,3.9,14.4,11.7,11.1,9.0,9.3,1.9,1.1
L,MD,6.6,2.8,6.6,1.9,7.3,1.2,10.1,2.5,1.7
M,VH,5.8,3.3,82.1,15.4,74.2,25.3,69.6,2.4,26.8
L,VH,8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7,5.8
XL,VH,83.8,52.1,21.4,92.2,96.0,87.5,96.3,79.8,38.2
L,HI,43.4,55.0,7.2,4.2,6.3,2.2,51.1,12.7,11.2
XL,VH,92.8,74.6,21.4,28.5,6.8,2.1,95.9,97.9,93.6
L,VH,8.1,4.5,5.4,33.9,3.9,7.2,66.0,4.2,13.2
L,HI,3.5,3.2,30.5,7.7,24.8,3.2,59.0,5.1,2.4
XL,MD,20.6,22.9,7.9,1.3,,,33.2,38.6,1.1
L,HI,6.4,3.3,3.3,1.5,6.2,1.7,6.8,4.1,1.0
XL,VH,13.6,3.3,7.0,12.9,27.6,27.4,95.9,14.8,11.8
L,VH,5.1,5.8,5.0,13.4,8.7,6.2,65.0,7.8,4.2
S,HI,15.1,10.9,10.7,1.7,90.5,19.7,7.1,5.7,1.0
M,VH,6.4,9.4,9.5,97.6,56.8,28.5,55.6,7.9,55.8
L,HI,7.0,4.1,6.4,1.3,1.9,4.4,9.0,5.6,1.2
XL,VH,3.7,3.3,1.5,4.5,3.8,2.6,77.7,70.1,2.9
L,VH,7.1,8.5,38.8,12.8,9.7,3.2,73.5,8.2,8.5
M,VH,10.3,3.0,4.1,9.3,6.0,1.2,53.3,2.3,1.5
L,HI,8.0,6.6,29.2,6.8,1.8,13.0,61.0,33.4,9.1
XL,VH,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8
XL,HI,4.9,3.8,5.2,2.6,1.9,3.3,46.2,7.6,2.9
XL,VH,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,40.4
L,VH,7.8,6.1,7.5,48.1,46.4,2.7,50.1,22.9,4.2
L,VH,25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5,27.3
M,HI,7.0,9.2,38.9,3.0,1.1,4.1,31.9,18.8,1.1
L,VH,18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3,16.1
XL,HI,4.4,3.0,2.0,5.3,3.1,5.7,45.1,1.7,8.8
M,VH,5.4,7.4,42.2,7.8,7.7,5.8,32.7,25.6,9.9
M,VH,6.2,6.5,55.1,4.1,11.2,32.1,59.1,3.8,1.2
L,HI,13.9,12.7,2.4,58.7,2.3,3.5,57.0,3.6,1.8
M,LO,9.4,12.7,86.6,1.0,5.4,24.1,2.5,37.4,
M,VH,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2
M,HI,5.2,3.4,13.0,1.2,3.9,2.0,5.1,2.2,1.0
M,VH,5.6,2.1,10.9,3.8,,,37.2,5.2,1.0
XL,VH,80.8,47.8,3.7,46.6,14.5,12.3,96.0,53.8,88.4
L,MD,3.6,3.2,8.5,1.9,13.9,2.9,17.0,4.1,1.2
L,HI,6.0,10.4,4.5,3.3,,1.0,14.1,11.0,1.0
XL,HI,11.6,2.4,15.5,4.1,1.5,1.2,55.1,3.7,1.2
L,VH,27.0,24.4,4.7,6.6,11.3,1.6,39.9,8.7,1.6
L,VH,23.3,20.0,15.5,33.5,47.1,5.0,77.3,8.6,29.6
M,HI,6.0,3.9,6.4,1.3,2.9,1.3,5.0,2.2,1.0
L,HI,3.8,5.4,6.2,7.8,3.4,5.5,25.3,26.1,2.2
M,LO,6.1,8.3,2.6,2.5,99.9,99.4,3.7,1.9,1.0
M,VH,6.2,9.0,74.2,13.8,7.9,43.1,44.7,9.2,2.2
L,VH,8.6,2.4,5.6,37.1,3.3,1.6,87.4,4.0,19.2
XL,HI,4.1,2.6,13.1,2.3,2.1,1.8,48.9,2.4,8.3
M,VH,3.5,1.6,2.4,9.8,,,41.7,2.1,1.0
L,VH,17.3,48.9,47.8,1.6,47.5,5.3,12.0,13.0,16.1
M,VH,3.0,3.7,3.5,7.2,21.4,2.2,10.6,1.7,1.0
M,VH,6.0,4.9,30.4,3.2,2.2,29.2,53.5,3.6,1.3
L,HI,6.8,4.2,18.8,16.9,54.7,7.6,43.0,23.4,8.0
M,VH,5.7,2.9,25.9,1.5,19.6,25.8,3.4,7.4,1.0
M,VH,17.8,5.9,9.1,40.6,,1.0,32.5,14.9,13.4
L,VH,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6
XL,LO,6.3,2.8,1.2,1.6,6.4,1.0,15.1,49.6,1.0
S,VH,8.2,5.0,31.8,52.1,100.0,96.3,20.2,40.0,48.9
S,VH,12.9,4.7,99.9,100.0,100.0,100.0,74.3,6.0,2.6
L,VH,27.0,67.2,9.7,17.0,8.3,19.8,76.1,69.1,70.3
M,HI,7.6,29.3,1.7,20.0,1.6,3.1,14.0,20.9,2.4
L,VH,98.5,99.5,98.2,93.9,100.0,99.6,97.4,93.4,99.7
L,VH,19.0,29.5,50.0,39.3,66.7,16.9,81.6,43.8,27.9
L,HI,5.2,1.8,15.1,2.7,,1.7,28.3,3.0,1.0
L,VH,23.6,19.8,8.0,77.7,92.6,95.0,78.6,19.6,78.4
XL,VH,4.9,7.6,47.8,1.1,1.8,2.8,17.7,41.8,1.0
XL,HI,7.1,2.1,5.0,2.8,5.9,1.3,22.9,6.8,1.1
XL,VH,11.0,6.0,19.4,22.9,4.3,12.4,69.0,25.3,22.5
M,MD,5.6,8.3,81.9,1.2,2.7,4.3,4.2,1.7,1.0
XL,HI,12.3,7.4,6.9,2.3,7.1,1.9,51.2,2.1,4.0
L,VH,10.4,6.7,9.4,10.8,29.0,73.5,75.8,3.9,49.5
L,HI,3.2,2.7,10.2,8.3,33.3,69.2,45.7,4.7,1.3
